fred wright,pycairo add versions,add versions 26,versions 26 32
fred wright,pygobject3 add versions,add versions 32,versions 32 33
fred wright,adds port pysetuptools29,port pysetuptools29 this,pysetuptools29 this is
fred wright,changes py32nose pysetuptools,py32nose pysetuptools dependency,pysetuptools dependency to
fred wright,revert python2531 removed,python2531 removed this,removed this reverts
fred wright,revert python24doc removed,python24doc removed this,removed this reverts
fred wright,revert remove python23,remove python23 this,python23 this reverts
fred wright,revert langpython21 langpython22,langpython21 langpython22 this,langpython22 this reverts
fred wright,pyserial adds back,adds back py34,back py34 tested
enmotus-dave-cohen,merge branch master,branch master of,master of httpsgithubcomdavidcohendiskspd
david cohen,merge pull request,pull request 20,request 20 from
david cohen,merge pull request,pull request 21,request 21 from
andrey castro,pushpin pinning odoo,pinning odoo docker,odoo docker image
danilo margarido,dont install recommended,install recommended packages,recommended packages alongside
raj kadam,blockmodo housekeeping coin,housekeeping coin count,coin count update
dongbo wang,preserve the savedcurrentline,the savedcurrentline and,savedcurrentline and currenthistoryindex
leonard shen,updated colors and,colors and chart,and chart height
michael dickens,cppunit update to,update to 1151,to 1151 remove
mitchellmarkgeorge,finnaly figured out,figured out ui,out ui strategy
timur mishiev,automatically backed up,backed up by,up by learn
travis,autosave testing for,testing for ultimate,for ultimate hosts
despottt,put code that,code that worked,that worked where
chelle gentemann,updated to include,to include aviso,include aviso instead
willholl,small change to,change to sweet,to sweet alert
trimstray,minor fix external,fix external resources,external resources signedoffby
justin mooney,fix eslint react,eslint react version,react version not
li-xie,modified to allow,to allow number,allow number of
darren smith,updated package version,package version to,version to 011
sandeepamarnath,merge branch master,branch master into,master into master
sandeepamarnath,merge pull request,pull request 2,request 2 from
danilo margarido,set e to,e to improve,to improve robustness
ericmassara,merge branch master,branch master of,master of httpsgithubcomericmassaraericmassaragithubio
dominik wilkowski,updated dependencies fixed,dependencies fixed nuke,fixed nuke script
mike aleksiuk,get to test,to test 17,test 17 by
a-312,add documentation about,documentation about custom,about custom getter
mubaraq wahab,merge branch manage2,branch manage2 into,manage2 into manage
mubaraq wahab,change comment to,comment to html,to html type
davis junior,completed password request,password request and,request and password
john leider,chorereadme update information,update information for,information for root
rmcaves,merge branch master,branch master of,master of githubcomrmcavesmultidockers
christopher sannar,another update still,update still working,still working on
zqf,tagging cells that,cells that are,that are the
tagawahirotaka,merge pull request,pull request 129,request 129 from
michel heily,wip optimize gbaframe,optimize gbaframe profiling,gbaframe profiling gbaframe
josh bielick,use correct gemfile,correct gemfile when,gemfile when running
arne roomann-kurrik,remove grunt from,grunt from build,from build process
kailana kahawaii,automatically backed up,backed up by,up by learn
rommel haynes,automatically backed up,backed up by,up by learn
murata gulube,take 3 back,3 back to,back to take
guangcheng139,merge branch master,branch master of,master of httpsgithubcomw190601jdev3
martin siggel,build tixi for,tixi for python,for python 37
tanner,last commit before,commit before handling,before handling scanner
spencer wood,allow one to,one to increase,to increase the
damian morgan,updated the rest,the rest of,rest of the
yang zhang,use bin as,bin as binary,as binary extension
kwhiting,dynamically add and,add and remove,and remove folder
max kuhn,move back to,back to using,to using procroc
christian urich,make loading of,loading of modules,of modules work
rajab natshah,fix get file,get file from,file from url
niclas olofsson,return alternative root,alternative root tag,root tag not
jennifer huang,blog refine format,refine format issues,format issues for
jennifer huang,blog add blog,add blog on,blog on pulsar
jia zhai,fix 5825 make,5825 make pulsarclustermetadatasetup,make pulsarclustermetadatasetup idempotent
sakasun,issue 5857helm chart,5857helm chart support,chart support to
jia zhai,fix some typos,some typos 5889,typos 5889 fix
fred eisele,added catch for,catch for noclassdeffounderror,for noclassdeffounderror wherever
tuteng,pulsar client toolssupport,client toolssupport generate,toolssupport generate documentation
jerry fan,avoid unsafe split,unsafe split when,split when validate
huangdx0726,issue 5612 use,5612 use reactivestreams,use reactivestreams client
tuteng,issue 5832pulsar iofix,5832pulsar iofix npe,iofix npe of
cckellogg,use bookiemem and,bookiemem and bookiegc,and bookiegc env
冉小龙,issue5669 fix the,fix the ledgerid,the ledgerid not
matteo merli,added zookeepersnapshottrustemptytrue for,zookeepersnapshottrustemptytrue for zk,for zk 35
lipenghui,fix read 0,read 0 entries,0 entries cause
lipenghui,fix wrong redelivery,wrong redelivery count,redelivery count while
anonymitaet,blog pulsar milestone,pulsar milestone celebration200,milestone celebration200 contributors
nathan mills,functions added default,added default metrics,default metrics for
lipenghui,fix topic owner,topic owner check,owner check while
ali ahmed,downgrade maven for,maven for license,for license check
rommel haynes,automatically backed up,backed up by,up by learn
bangqi xu,conservative macro pa,macro pa initial,pa initial fix
michael w. olesen,merge pull request,pull request 12,request 12 from
zoom.quiet,upgradeplanet auto by,auto by crontab,by crontab from
zachary spector,add another test,another test for,test for compound
cameron,merge pull request,pull request 3,request 3 from
kevin nowaczyk,field is an,is an array,an array key
bjoern kerler,port to gnuradio,to gnuradio 38,gnuradio 38 and
seatacken,working on new,on new counter,new counter functionality
blandine12,merge pull request,pull request 24,request 24 from
harlenlopez,merge branch master,branch master into,master into lab2
taylor,more changes to,changes to enable,to enable proper
guangde wang,leetcode198 is equivalent,is equivalent to,equivalent to leetcode
franck nijhof,migrate input tests,input tests from,tests from coroutine
edwin lee,major change to,change to memory,to memory management
github username,modify date output,date output format,output format for
darien,add files via,files via upload,via upload first
melanie mcglynn,automatically backed up,backed up by,up by learn
jenkins-x-bot,publishing files for,files for path,for path jenkinsxlogscbkubecdenvironmentpr120102gkeupgradedevpr21log
olos00,commit adds solutions,adds solutions to,solutions to fizzbuzz
aqi-moscun,update file at,file at 20200101,at 20200101 004250
albert,update to use,to use sendjson,use sendjson 1
acat122,update readmemd and,readmemd and mention,and mention moon
brokalys bot,monthly data house,data house sell,house sell latvia
marc fors,controller for a,for a web,a web service
andrew capp,automatically backed up,backed up by,up by learn
inna nikolenko,added new relic,new relic and,relic and setting
banks t,ci setup 2,setup 2 create,2 create gradleyml
tac,site updated at,updated at 20200101,at 20200101 004417
renovate bot,choredeps update dependency,update dependency conventionalchangelogcli,dependency conventionalchangelogcli to
jason chen,add jp voc,jp voc zen,voc zen docx
wigforss,mavenreleaseplugin prepare for,prepare for next,for next development
adrianvalenciasantos,final updates for,updates for mobile,for mobile format
vincenira,adding the changelog,the changelog and,changelog and logic
vincenira,merge branch master,branch master of,master of httpsgithubcomvinceniratutorialgithub
andresfdaza,sencilla modificacion sonido,modificacion sonido en,sonido en el
spencer wood,variable timetowait for,timetowait for test,for test harness
ladinu chandrasinghe,remove few sideeffecting,few sideeffecting nullary,sideeffecting nullary methods
ladinu chandrasinghe,merge pull request,pull request 148,request 148 from
spencer wood,merge branch master,branch master of,master of githubcomoraclewookiee
robert scott,pythonpackagesunicorn redesign to,redesign to become,to become a
mestizolopez,adding new methods,new methods for,methods for http
artur souza,unit tests for,tests for actormanager,for actormanager fixes
andres.robles,refactoring http client,http client to,client to follow
jeff linahan,gave shrinktree delete,shrinktree delete verts,delete verts on
silan,make function for,function for grph,for grph in
harlenlopez,merge branch master,branch master into,master into lab2
harlenlopez,merge pull request,pull request 25,request 25 from
zqf,created basic files,basic files for,files for grid
zqf,implemented very basic,very basic drunken,basic drunken walk
zqf,improving on drunken,on drunken walk,drunken walk implementation
zqf,drunken walk now,walk now takes,now takes its
zqf,changed char on,char on cells,on cells to
zqf,tagging cells that,cells that are,that are the
zqf,merge branch procgen,branch procgen into,procgen into development
ehuan2,added classes that,classes that are,that are needed
tjdwls3469,merge pull request,pull request 171,request 171 from
soljian / sheaven,ajout fonctions slots,fonctions slots integration,slots integration avec
wrkzdev,http client retry,client retry on,retry on socket
wrkzdev,resolved error in,error in transaction,in transaction input
carloscastillo10,comentando la linea,la linea 32,linea 32 de
thomas wright,automatically backed up,backed up by,up by learn
collin mitchell,finished section still,section still life,still life drawing
danilo margarido,upgrade to 1904,to 1904 since,1904 since it
jenkins-x-bot,publishing files for,files for path,for path jenkinsxlogscbkubecdbddspring1577838517pr11log
skyblockz,automated database update,database update changes,update changes changed
benjamin cane,moving to afterfunc,to afterfunc which,afterfunc which should
benjamin cane,merge pull request,pull request 2,request 2 from
treee,fixed position issue,position issue with,issue with emotes
tim kim,pushed blue circle,blue circle zindex,circle zindex up
tim kim,merge pull request,pull request 31,request 31 from
danilo margarido,travis comment unused,comment unused variables,unused variables and
behnam ebrahimi,run tests once,tests once and,once and finish
junwon,handled getting comments,getting comments the,comments the decending
junwon,handled error message,error message of,message of showing
skyblockz,auto alias database,alias database update,database update changes
anthony gedeon,deleted code and,code and now,and now i
nicholas,updated loot run,loot run command,run command messages
rae,updates to docker,to docker and,docker and nginx
rae,updates from test,from test branch,test branch to
ri xin yang,automatically backed up,backed up by,up by learn
ben rousch,remove references to,references to google,to google plus
id405,made tabes take,tabes take up,take up multiple
thomas wright,automatically backed up,backed up by,up by learn
eileen,add test on,test on buildmembershiptypevalues,on buildmembershiptypevalues cleanup
mounaiban,disable html escape,html escape in,escape in editor
mounaiban,add usage instructions,usage instructions for,instructions for intro
mounaiban,fix handling of,handling of html,of html unescape
mounaiban,fix usage of,usage of the,of the term
nikita patlay,merge branch master,branch master of,master of httpsgithubcompnikitasstarnavitestproject
aldrin,update linear models,linear models logistic,models logistic regressionipynb
ralf barkow, pluginproperties must,pluginproperties must be,must be located
andresfdaza,sencilla modificacion sonido,modificacion sonido en,sonido en el
justin,added ui to,ui to multitracker,to multitracker added
ross chapman,2020 update copyright,update copyright date,copyright date update
pierre hunault,improve performance when,performance when exporting,when exporting strategic
vivian l,merge pull request,pull request 71,request 71 from
bao,merge branch master,branch master of,master of httpsgithubcomosucsdosucsducsdedu
bao hoang,merge pull request,pull request 72,request 72 from
bao hoang,merge pull request,pull request 73,request 73 from
bao hoang,merge pull request,pull request 74,request 74 from
bao,merge branch master,branch master of,master of httpsgithubcomosucsdosucsducsdedu
bao hoang,merge pull request,pull request 75,request 75 from
bao hoang,merge pull request,pull request 76,request 76 from
bao hoang,merge pull request,pull request 77,request 77 from
brendan,merge branch master,branch master of,master of httpsgithubcomosucsdosucsducsdedu
blau0123,merge pull request,pull request 78,request 78 from
bao hoang,merge pull request,pull request 79,request 79 from
hanna alemu,merge pull request,pull request 2,request 2 from
danilo margarido,travis uncomment those,uncomment those variables,those variables apparently
marc ferland,had to downgrade,to downgrade to,downgrade to node
grant,target doesnt take,doesnt take in,take in add
grant,trying to add,to add loading,add loading notifications
grant,loading works on,works on both,on both sections
grant,minor changes working,changes working on,working on lazy
grant,using async await,async await must,await must fix
grant,cleaned up make,up make call,make call function
grant,making separate searches,separate searches for,searches for different
grant,split search bar,search bar in,bar in to
grant,event categories json,categories json file,json file added
grant,made and event,and event category,event category search
grant,some changes and,changes and exported,and exported api
grant,changed api names,api names and,names and moved
grant,trying to add,to add separate,add separate logic
alex-au1,update and rename,and rename changeprofilecss,rename changeprofilecss to
alex-au1,delete checkprofilescss the,checkprofilescss the asynchronous,the asynchronous pages
alex-au1,updated to match,to match the,match the styles
alex-au1,already implemented changes,implemented changes to,changes to changeprofilephp
alex-au1,moved customercpanelcss to,customercpanelcss to its,to its correct
alex-au1,already implemented code,implemented code to,code to selectwaccountscss
alex-au1,update and rename,and rename changeaccountscss,rename changeaccountscss to
alex-au1,changed to fit,to fit the,fit the new
alex-au1,already implemented code,implemented code to,code to changeaccountsphp
alex-au1,merge branch changepages,branch changepages into,changepages into development
alex-au1,merge pull request,pull request 89,request 89 from
roger chapman,remove window arrangements,window arrangements in,arrangements in iterm
david qiu,update the tqdm,the tqdm descriptions,tqdm descriptions in
david qiu,merge branch featurefiltertopics,branch featurefiltertopics into,featurefiltertopics into dev
david qiu,add documentation for,documentation for picktopics,for picktopics and
david qiu,merge branch featurefiltertopics,branch featurefiltertopics into,featurefiltertopics into dev
david qiu,merge pull request,pull request 4,request 4 from
smash0,finish readme and,readme and mention,and mention gods
burak ozarslan,added flake8 and,flake8 and travisci,and travisci configuration
darnell,limits on when,on when follows,when follows and
pentarctagon,remove windowstimeoutcpp and,windowstimeoutcpp and related,and related this
cjxdbot,choredeps bump httpsgithubcomcbkubecdbddspring1577839158git,bump httpsgithubcomcbkubecdbddspring1577839158git command,httpsgithubcomcbkubecdbddspring1577839158git command run
cjxd-bot-test,merge pull request,pull request 2,request 2 from
renovate bot,update dependency reactsyntaxhighlighter,dependency reactsyntaxhighlighter to,reactsyntaxhighlighter to v12
safia abdalla,merge pull request,pull request 4770,request 4770 from
tim kim,pushed blue circle,blue circle zindex,circle zindex up
tim kim,merge pull request,pull request 31,request 31 from
tim kim,merge pull request,pull request 32,request 32 from
priz,all current files,current files have,files have been
bozhidar.slavov,register panel edited,panel edited using,edited using angular
jeff linahan,gave shrinktree delete,shrinktree delete verts,delete verts on
jeff linahan,merge branch master,branch master of,master of httpsgithubcomjeffythedragonslayerliptontarjan
joshith,enhancement to honor,to honor strategies,honor strategies to
eric crooks,staging merge branch,merge branch master,branch master into
eric crooks,staging merge branch,merge branch master,branch master into
eric crooks,staging merge branch,merge branch master,branch master into
eric crooks,merge pull request,pull request 10,request 10 from
eric crooks,staging merge branch,merge branch master,branch master into
eric crooks,teststagingci merge branch,merge branch staging,branch staging into
eric crooks,merge pull request,pull request 11,request 11 from
eric crooks,merge pull request,pull request 12,request 12 from
eric crooks,merge pull request,pull request 14,request 14 from
deno-drash-docs-ci,staging build tue,build tue dec,tue dec 31
eric crooks,teststagingci merge branch,merge branch staging,branch staging into
edmund miller,fixnode add boot,add boot loader,boot loader for
keyi zhang,test windows build,windows build skip,build skip travis
brokalys bot,monthly price per,price per sqm,per sqm data
gordon hsu,added generic pid,generic pid controller,pid controller and
grant,some changes and,changes and exported,and exported api
grant,changed api names,api names and,names and moved
grant,trying to add,to add separate,add separate logic
george,new version tue,version tue dec,tue dec 31
pablo bonilla,alerta de salida,de salida en,salida en front
alphacentaury,beta 1 rtw,1 rtw sprint,rtw sprint configuration
eric marty,finish basic database,basic database schema,database schema and
andresfdaza,sencilla modificacion sonido,modificacion sonido en,sonido en el
shinchiro,shinchiro ascendance of,ascendance of a,of a bookworm
kt,ensure doc examples,doc examples use,examples use exampleresources
dependabot[bot],bump eslint from,eslint from 3190,from 3190 to
mykle,merge pull request,pull request 15,request 15 from
perry miller,checking for fewer,for fewer than,fewer than 2
perry miller, using raw,using raw pointer,raw pointer when
elbert alias,merge pull request,pull request 2853,request 2853 from
aqi-moscun,update file at,file at 20200101,at 20200101 004358
richard diz,set default user,default user role,user role but
yusuf,feature 1 merge,1 merge with,merge with master
yusuf,feature 1 merged,1 merged with,merged with security
yusuf,master merge with,merge with feature1,with feature1 and
liruqi,partially convert from,convert from 20191220,from 20191220 stream13
thomas rampelberg,update to new,to new version,new version of
derrick burns,updated service profile,service profile description,profile description 616
charles pretzer,update linkerd 1,linkerd 1 version,1 version to
marcus wilson,add created date,created date to,date to chadwick
